snr_db,ber,evm_percent
0,0.1571875,99.35176446196107
2,0.10140625,78.9468732821324
4,0.0558984375,62.70656232477364
6,0.0232421875,49.51710763392085
8,0.00546875,39.4728412146912
10,0.000625,31.38842472203741
12,0.0,25.253472583272707
15,0.0,17.69266441085974
20,0.0,9.951210017179031
