condition,strategy,snr_db,probe_evm_percent,probe_ber,packet_error_rate,selected_modulation,average_ber,success_rate,delivered_bits_per_frame
17,rule_based,10.164373599412857,30.95572489162844,0.0,0.0,QPSK,0.0015625,1.0,128.0
17,ml_based,10.164373599412857,30.95572489162844,0.0,0.0,QPSK,0.0015625,1.0,128.0
18,fixed_qpsk,8.336976465004772,39.74633727061668,0.0078125,0.6666666666666666,QPSK,0.0046875,1.0,128.0
18,rule_based,8.336976465004772,39.74633727061668,0.0078125,0.6666666666666666,QPSK,0.0046875,1.0,128.0
18,ml_based,8.336976465004772,39.74633727061668,0.0078125,0.6666666666666666,QPSK,0.0046875,1.0,128.0
19,fixed_qpsk,6.7899917053021035,47.348726067021815,0.0234375,1.0,QPSK,0.0078125,0.8,102.4
19,rule_based,6.7899917053021035,47.348726067021815,0.0234375,1.0,QPSK,0.0078125,0.8,102.4
19,ml_based,6.7899917053021035,47.348726067021815,0.0234375,1.0,QPSK,0.0078125,0.8,102.4
20,fixed_qpsk,15.77450530035745,16.973228095449777,0.0,0.0,QPSK,0.0,1.0,128.0
20,rule_based,15.77450530035745,16.973228095449777,0.0,0.0,16QAM,0.00078125,1.0,256.0
20,ml_based,15.77450530035745,16.973228095449777,0.0,0.0,16QAM,0.00078125,1.0,256.0
21,fixed_qpsk,12.927361820532944,23.69693915990565,0.0,0.0,QPSK,0.0,1.0,128.0
21,rule_based,12.927361820532944,23.69693915990565,0.0,0.0,16QAM,0.01796875,0.0,0.0
21,ml_based,12.927361820532944,23.69693915990565,0.0,0.0,QPSK,0.0,1.0,128.0
22,fixed_qpsk,19.895418614177864,10.428437448972588,0.0,0.0,QPSK,0.0,1.0,128.0
22,rule_based,19.895418614177864,10.428437448972588,0.0,0.0,16QAM,0.0,1.0,256.0
22,ml_based,19.895418614177864,10.428437448972588,0.0,0.0,64QAM,0.008854166666666666,0.4,153.6
23,fixed_qpsk,0.38521447100419715,91.9248058120325,0.15885416666666666,1.0,QPSK,0.1359375,0.0,0.0
23,rule_based,0.38521447100419715,91.9248058120325,0.15885416666666666,1.0,QPSK,0.1359375,0.0,0.0
23,ml_based,0.38521447100419715,91.9248058120325,0.15885416666666666,1.0,QPSK,0.1359375,0.0,0.0
24,fixed_qpsk,13.431057046161625,22.178174937865965,0.0,0.0,QPSK,0.0,1.0,128.0
24,rule_based,13.431057046161625,22.178174937865965,0.0,0.0,16QAM,0.0109375,0.4,102.4
24,ml_based,13.431057046161625,22.178174937865965,0.0,0.0,QPSK,0.0,1.0,128.0
25,fixed_qpsk,10.955424033971742,27.276221273325703,0.0,0.0,QPSK,0.0015625,1.0,128.0
25,rule_based,10.955424033971742,27.276221273325703,0.0,0.0,QPSK,0.0015625,1.0,128.0
25,ml_based,10.955424033971742,27.276221273325703,0.0,0.0,QPSK,0.0015625,1.0,128.0
26,fixed_qpsk,5.861927996146621,53.22956034977021,0.041666666666666664,1.0,QPSK,0.0203125,0.2,25.6
26,rule_based,5.861927996146621,53.22956034977021,0.041666666666666664,1.0,QPSK,0.0203125,0.2,25.6
26,ml_based,5.861927996146621,53.22956034977021,0.041666666666666664,1.0,QPSK,0.0203125,0.2,25.6
27,fixed_qpsk,17.845976130181583,11.913490723819836,0.0,0.0,QPSK,0.0,1.0,128.0
27,rule_based,17.845976130181583,11.913490723819836,0.0,0.0,16QAM,0.0,1.0,256.0
27,ml_based,17.845976130181583,11.913490723819836,0.0,0.0,16QAM,0.0,1.0,256.0
28,fixed_qpsk,13.059394678519338,22.677045366443707,0.0,0.0,QPSK,0.0,1.0,128.0
28,rule_based,13.059394678519338,22.677045366443707,0.0,0.0,16QAM,0.0140625,0.4,102.4
28,ml_based,13.059394678519338,22.677045366443707,0.0,0.0,QPSK,0.0,1.0,128.0
29,fixed_qpsk,8.999745112354494,36.878006009835914,0.0,0.0,QPSK,0.0,1.0,128.0
29,rule_based,8.999745112354494,36.878006009835914,0.0,0.0,QPSK,0.0,1.0,128.0
29,ml_based,8.999745112354494,36.878006009835914,0.0,0.0,QPSK,0.0,1.0,128.0
30,fixed_qpsk,6.282483637086587,50.215412014297435,0.013020833333333334,0.6666666666666666,QPSK,0.0234375,0.2,25.6
30,rule_based,6.282483637086587,50.215412014297435,0.013020833333333334,0.6666666666666666,QPSK,0.0234375,0.2,25.6
30,ml_based,6.282483637086587,50.215412014297435,0.013020833333333334,0.6666666666666666,QPSK,0.0234375,0.2,25.6
31,fixed_qpsk,26.238721715765386,4.747105480437726,0.0,0.0,QPSK,0.0,1.0,128.0
31,rule_based,26.238721715765386,4.747105480437726,0.0,0.0,64QAM,0.0,1.0,384.0
31,ml_based,26.238721715765386,4.747105480437726,0.0,0.0,64QAM,0.0,1.0,384.0
32,fixed_qpsk,23.92386946564298,6.244215037310685,0.0,0.0,QPSK,0.0,1.0,128.0
32,rule_based,23.92386946564298,6.244215037310685,0.0,0.0,64QAM,0.0,1.0,384.0
32,ml_based,23.92386946564298,6.244215037310685,0.0,0.0,64QAM,0.0,1.0,384.0
33,fixed_qpsk,18.20129030054937,12.588782128093834,0.0,0.0,QPSK,0.0,1.0,128.0
33,rule_based,18.20129030054937,12.588782128093834,0.0,0.0,16QAM,0.0,1.0,256.0
33,ml_based,18.20129030054937,12.588782128093834,0.0,0.0,16QAM,0.0,1.0,256.0
34,fixed_qpsk,10.353017360018764,29.161238225385787,0.0,0.0,QPSK,0.0,1.0,128.0
34,rule_based,10.353017360018764,29.161238225385787,0.0,0.0,QPSK,0.0,1.0,128.0
34,ml_based,10.353017360018764,29.161238225385787,0.0,0.0,QPSK,0.0,1.0,128.0
35,fixed_qpsk,28.404593729389454,3.6219194026072112,0.0,0.0,QPSK,0.0,1.0,128.0
35,rule_based,28.404593729389454,3.6219194026072112,0.0,0.0,64QAM,0.0,1.0,384.0
35,ml_based,28.404593729389454,3.6219194026072112,0.0,0.0,64QAM,0.0,1.0,384.0
36,fixed_qpsk,16.901321235076367,14.348225171853867,0.0,0.0,QPSK,0.0,1.0,128.0
36,rule_based,16.901321235076367,14.348225171853867,0.0,0.0,16QAM,0.00078125,1.0,256.0
36,ml_based,16.901321235076367,14.348225171853867,0.0,0.0,16QAM,0.00078125,1.0,256.0
37,fixed_qpsk,12.98288218859856,21.757715926254832,0.0,0.0,QPSK,0.0,1.0,128.0
37,rule_based,12.98288218859856,21.757715926254832,0.0,0.0,16QAM,0.0203125,0.2,51.2
37,ml_based,12.98288218859856,21.757715926254832,0.0,0.0,QPSK,0.0,1.0,128.0
38,fixed_qpsk,27.01348797012666,4.562661572606464,0.0,0.0,QPSK,0.0,1.0,128.0
38,rule_based,27.01348797012666,4.562661572606464,0.0,0.0,64QAM,0.0,1.0,384.0
38,ml_based,27.01348797012666,4.562661572606464,0.0,0.0,64QAM,0.0,1.0,384.0
39,fixed_qpsk,9.580254117055873,30.931190107121182,0.0,0.0,QPSK,0.0,1.0,128.0
39,rule_based,9.580254117055873,30.931190107121182,0.0,0.0,QPSK,0.0,1.0,128.0
39,ml_based,9.580254117055873,30.931190107121182,0.0,0.0,QPSK,0.0,1.0,128.0
40,fixed_qpsk,20.879846104013502,9.103611405277583,0.0,0.0,QPSK,0.0,1.0,128.0
40,rule_based,20.879846104013502,9.103611405277583,0.0,0.0,64QAM,0.005208333333333333,0.8,307.2
40,ml_based,20.879846104013502,9.103611405277583,0.0,0.0,64QAM,0.005208333333333333,0.8,307.2
41,fixed_qpsk,9.414609817871103,33.12886857692299,0.0026041666666666665,0.3333333333333333,QPSK,0.0015625,1.0,128.0
41,rule_based,9.414609817871103,33.12886857692299,0.0026041666666666665,0.3333333333333333,QPSK,0.0015625,1.0,128.0
41,ml_based,9.414609817871103,33.12886857692299,0.0026041666666666665,0.3333333333333333,QPSK,0.0015625,1.0,128.0
42,fixed_qpsk,7.846591389354,40.200602809825384,0.0026041666666666665,0.3333333333333333,QPSK,0.0078125,0.6,76.8
42,rule_based,7.846591389354,40.200602809825384,0.0026041666666666665,0.3333333333333333,QPSK,0.0078125,0.6,76.8
42,ml_based,7.846591389354,40.200602809825384,0.0026041666666666665,0.3333333333333333,QPSK,0.0078125,0.6,76.8
43,fixed_qpsk,21.025226685025665,8.934971927183238,0.0,0.0,QPSK,0.0,1.0,128.0
43,rule_based,21.025226685025665,8.934971927183238,0.0,0.0,64QAM,0.00625,0.8,307.2
43,ml_based,21.025226685025665,8.934971927183238,0.0,0.0,64QAM,0.00625,0.8,307.2
44,fixed_qpsk,6.836759367220731,48.284578402764936,0.026041666666666668,1.0,QPSK,0.0171875,0.2,25.6
44,rule_based,6.836759367220731,48.284578402764936,0.026041666666666668,1.0,QPSK,0.0171875,0.2,25.6
44,ml_based,6.836759367220731,48.284578402764936,0.026041666666666668,1.0,QPSK,0.0171875,0.2,25.6
45,fixed_qpsk,14.793309689546422,17.397789400364307,0.0,0.0,QPSK,0.0,1.0,128.0
45,rule_based,14.793309689546422,17.397789400364307,0.0,0.0,16QAM,0.0046875,1.0,256.0
45,ml_based,14.793309689546422,17.397789400364307,0.0,0.0,16QAM,0.0046875,1.0,256.0
46,fixed_qpsk,17.400853590616684,13.753015803833321,0.0,0.0,QPSK,0.0,1.0,128.0
46,rule_based,17.400853590616684,13.753015803833321,0.0,0.0,16QAM,0.0,1.0,256.0
46,ml_based,17.400853590616684,13.753015803833321,0.0,0.0,16QAM,0.0,1.0,256.0
47,fixed_qpsk,5.667190942633753,52.64533987420875,0.033854166666666664,1.0,QPSK,0.028125,0.0,0.0
47,rule_based,5.667190942633753,52.64533987420875,0.033854166666666664,1.0,QPSK,0.028125,0.0,0.0
47,ml_based,5.667190942633753,52.64533987420875,0.033854166666666664,1.0,QPSK,0.028125,0.0,0.0
48,fixed_qpsk,21.93721975075334,7.626871781112926,0.0,0.0,QPSK,0.0,1.0,128.0
48,rule_based,21.93721975075334,7.626871781112926,0.0,0.0,64QAM,0.0015625,1.0,384.0
48,ml_based,21.93721975075334,7.626871781112926,0.0,0.0,64QAM,0.0015625,1.0,384.0
49,fixed_qpsk,16.454491938738908,14.85849966960231,0.0,0.0,QPSK,0.0,1.0,128.0
49,rule_based,16.454491938738908,14.85849966960231,0.0,0.0,16QAM,0.0015625,1.0,256.0
49,ml_based,16.454491938738908,14.85849966960231,0.0,0.0,16QAM,0.0015625,1.0,256.0
50,fixed_qpsk,18.64509778877813,12.003782367015502,0.0,0.0,QPSK,0.0,1.0,128.0
50,rule_based,18.64509778877813,12.003782367015502,0.0,0.0,16QAM,0.0,1.0,256.0
50,ml_based,18.64509778877813,12.003782367015502,0.0,0.0,16QAM,0.0,1.0,256.0
51,fixed_qpsk,11.164329503904897,26.618491088148456,0.0,0.0,QPSK,0.0,1.0,128.0
51,rule_based,11.164329503904897,26.618491088148456,0.0,0.0,QPSK,0.0,1.0,128.0
51,ml_based,11.164329503904897,26.618491088148456,0.0,0.0,QPSK,0.0,1.0,128.0
