snr_db,probe_evm_percent,probe_ber,packet_error_rate,qpsk_ber,qam16_ber,qam64_ber,selected_modulation,selected_bits_per_symbol
6.82008067401509,44.29962203493631,0.015625,1.0,0.0140625,0.115234375,0.22578125000000004,QPSK,2
14.497117404219384,19.362501701008508,0.0,0.0,0.0,0.007421875,0.07239583333333334,16QAM,4
1.631769437914623,83.75287552396637,0.11197916666666667,1.0,0.11328125,0.253125,0.33124999999999993,QPSK,2
1.957879311738523,85.83402347167586,0.11458333333333333,1.0,0.11796875,0.22578125,0.3294270833333333,QPSK,2
11.38519471725674,25.214223874344597,0.0,0.0,0.0,0.033203125,0.12109374999999997,QPSK,2
20.703734624978722,8.958971998574121,0.0,0.0,0.0,0.0,0.005729166666666666,64QAM,6
12.671299553090625,23.96917977358444,0.0,0.0,0.0,0.0171875,0.09765625,QPSK,2
24.688225505983368,5.832288907198788,0.0,0.0,0.0,0.0,0.0,64QAM,6
16.0521271173925,15.220318936602538,0.0,0.0,0.0,0.0015625,0.0515625,16QAM,4
10.22787326598629,30.284548012118904,0.0,0.0,0.0015625,0.052734375,0.14999999999999997,QPSK,2
3.465507165064723,67.3431390046245,0.059895833333333336,1.0,0.0703125,0.192578125,0.3052083333333333,QPSK,2
10.205925587418754,30.85448375910986,0.0026041666666666665,0.3333333333333333,0.0,0.051171875,0.1505208333333333,QPSK,2
15.673481034792555,18.083367621136162,0.0,0.0,0.0,0.001171875,0.055989583333333336,16QAM,4
3.8007512546517686,67.11632858726638,0.078125,1.0,0.0640625,0.20390625,0.29453125,QPSK,2
27.381795387406108,4.444532825723054,0.0,0.0,0.0,0.0,0.0,64QAM,6
4.785790188609781,55.884429296585246,0.0390625,1.0,0.04453125,0.1703125,0.2619791666666666,QPSK,2
5.603137732200194,55.000739237115695,0.033854166666666664,1.0,0.01640625,0.148046875,0.23697916666666669,QPSK,2
28.700850924964193,3.6017580533235503,0.0,0.0,0.0,0.0,0.0,64QAM,6
13.727224710174271,21.655832745196154,0.0,0.0,0.0,0.005859375,0.08020833333333335,16QAM,4
4.975936326870549,54.18565601262012,0.044270833333333336,1.0,0.04296875,0.17265625,0.26171875000000006,QPSK,2
0.9102366810440732,88.65747451112266,0.12760416666666666,1.0,0.1203125,0.260546875,0.34322916666666664,QPSK,2
10.131156904751048,32.09084108412465,0.0,0.0,0.00078125,0.057421875,0.14947916666666666,QPSK,2
27.306907557525662,4.4452644073145855,0.0,0.0,0.0,0.0,0.0,64QAM,6
26.711099058294362,4.836934449349716,0.0,0.0,0.0,0.0,0.0,64QAM,6
15.15712570022739,17.429925730953475,0.0,0.0,0.0,0.005078125,0.05963541666666668,16QAM,4
17.5398133885015,12.890040428905634,0.0,0.0,0.0,0.00078125,0.03359375,16QAM,4
13.5218100077056,20.566559282552422,0.0,0.0,0.0,0.01171875,0.08750000000000001,QPSK,2
3.508114480638076,68.0970760241619,0.052083333333333336,1.0,0.05703125,0.204296875,0.29192708333333334,QPSK,2
13.162408685495445,21.561603761933615,0.0,0.0,0.0,0.01484375,0.10651041666666668,QPSK,2
4.881412120676943,56.031591155900564,0.033854166666666664,1.0,0.03828125,0.171484375,0.26119791666666664,QPSK,2
3.019496666540382,69.04679402679315,0.059895833333333336,1.0,0.084375,0.204296875,0.309375,QPSK,2
8.45942481378228,38.30228256141968,0.0,0.0,0.00390625,0.095703125,0.17916666666666664,QPSK,2
3.9077750249129464,63.516526613223675,0.06510416666666667,1.0,0.0421875,0.191796875,0.2815104166666667,QPSK,2
27.52748345069679,4.186855106114136,0.0,0.0,0.0,0.0,0.0,64QAM,6
28.82155068474048,3.82433212797867,0.0,0.0,0.0,0.0,0.0,64QAM,6
26.027845623222895,5.425286067240301,0.0,0.0,0.0,0.0,0.0,64QAM,6
7.1485501472133075,43.6392279555221,0.005208333333333333,0.6666666666666666,0.01015625,0.121484375,0.21145833333333336,QPSK,2
13.937033295325968,19.42029040124765,0.0,0.0,0.0,0.012109375,0.08828125,QPSK,2
15.20786820559836,16.65571371211567,0.0,0.0,0.0,0.003515625,0.06770833333333334,16QAM,4
1.1608523616289768,84.36420483676619,0.12239583333333333,1.0,0.12109375,0.24765625,0.3455729166666667,QPSK,2
19.747011914408972,10.818480235408973,0.0,0.0,0.0,0.0,0.0078125,64QAM,6
19.78523387055764,10.708011175303781,0.0,0.0,0.0,0.0,0.011458333333333333,16QAM,4
15.52172337356933,16.261959750955235,0.0,0.0,0.0,0.002734375,0.059895833333333336,16QAM,4
3.6410714865995084,65.10209722904715,0.0859375,1.0,0.05546875,0.2,0.28515625000000006,QPSK,2
2.1444725166841705,76.83945029499678,0.09375,1.0,0.1078125,0.243359375,0.32552083333333337,QPSK,2
28.022215690686412,3.691070198697983,0.0,0.0,0.0,0.0,0.0,64QAM,6
3.2160352627771136,70.74343377229197,0.0859375,1.0,0.0609375,0.211328125,0.2979166666666667,QPSK,2
14.3731801593349,19.019224214025563,0.0,0.0,0.0,0.005859375,0.07786458333333333,16QAM,4
3.5748442006552104,63.43710445047554,0.049479166666666664,1.0,0.06796875,0.203125,0.29713541666666665,QPSK,2
21.583398929176056,8.433062047418844,0.0,0.0,0.0,0.0,0.003645833333333333,64QAM,6
16.307008082524476,15.035006330986517,0.0,0.0,0.0,0.0015625,0.04166666666666667,16QAM,4
9.121139921262321,34.394916626940955,0.0,0.0,0.0015625,0.077734375,0.18046875,QPSK,2
