snr_db,probe_evm_percent,probe_ber,packet_error_rate,probe_pilot_error_percent,estimated_channel_magnitude,qpsk_ber,qam16_ber,qam64_ber,selected_modulation,selected_bits_per_symbol,true_channel_magnitude,interference_present,interference_to_signal_db,interference_bin
5.368044410263085,90.58961376370375,0.07916666666666666,1.0,65.75266407137804,1.1370013790385343,0.06111111111111111,0.17708333333333334,0.27800925925925923,QPSK,2,1.3516523529826319,1,-21.12706664225872,21
23.653758091770186,6.941593984316493,0.0,0.0,5.007050518149487,0.4929627241157083,0.0,0.0,0.0,64QAM,6,0.48941144064712094,0,,-1
15.34389423479671,29.425721416230036,0.008333333333333333,0.75,12.732414051939399,0.9283532012689175,0.006944444444444444,0.017013888888888887,0.07291666666666666,QPSK,2,0.9221866954108862,1,-13.577885183269917,2
27.61971270570387,13.391696193048098,0.004166666666666667,0.5,3.148444566430511,0.869231233859522,0.004166666666666667,0.006597222222222222,0.007175925925925926,64QAM,6,0.8671987771252674,1,-18.466284644744817,4
15.618886652598004,22.80231797115262,0.0,0.0,14.458577061170859,0.7956010029607576,0.0,0.00798611111111111,0.07291666666666669,16QAM,4,0.8120699937536604,0,,-1
20.038947673826822,11.868199434118747,0.0,0.0,7.7550050474099415,0.3183763626454818,0.0,0.00034722222222222224,0.012962962962962963,16QAM,4,0.3259852608193907,0,,-1
16.092222533154917,19.734575564150052,0.0,0.0,12.570017224055372,1.1200455568816614,0.0,0.004513888888888889,0.0664351851851852,16QAM,4,1.144939926994312,1,-26.011101349101235,-15
6.266064747954861,55.109185060105595,0.03125,1.0,40.43820199082257,1.2506724234462139,0.03958333333333333,0.17499999999999996,0.25601851851851853,QPSK,2,1.2532038743253953,1,-26.550450089718197,-18
25.93979596306585,5.397751107145268,0.0,0.0,3.453205199303583,0.8009777803489155,0.0,0.0,0.0,64QAM,6,0.7943455808890997,0,,-1
3.5028136950544395,94.08965972101419,0.06666666666666667,1.0,67.03908793830543,0.7647102338364573,0.09999999999999999,0.21562500000000004,0.31736111111111115,QPSK,2,0.9983465794028354,1,-29.055984102402608,16
18.512739382998504,47.71663463012594,0.010416666666666666,1.0,11.20259431848887,0.2514179543283003,0.011111111111111112,0.007291666666666666,0.040046296296296295,16QAM,4,0.25820202001722886,1,-7.593115989642264,1
24.353801597034096,6.8066877218554955,0.0,0.0,4.308257501321809,1.0429870798507852,0.0,0.0,0.0002314814814814815,64QAM,6,1.0528424225421948,0,,-1
5.02836589652623,75.1892311045896,0.04583333333333334,1.0,49.41484695629282,1.509136687412322,0.052083333333333336,0.17500000000000002,0.27199074074074076,QPSK,2,1.688292131058065,0,,-1
15.563015930075787,18.685141692127466,0.0,0.0,17.661111999343184,0.329096765696712,0.0,0.004166666666666667,0.056944444444444436,16QAM,4,0.3391368959986961,0,,-1
11.34757012430289,34.349985254796735,0.0,0.0,30.19876261782186,1.67208338711128,0.0,0.04340277777777778,0.14305555555555555,QPSK,2,1.7730551495240845,0,,-1
19.677945312075398,12.035159258196305,0.0,0.0,10.138623669585895,1.4851232399724066,0.0,0.0,0.020138888888888887,16QAM,4,1.4690485661084014,0,,-1
16.40426287221984,26.605245183689785,0.008333333333333333,1.0,10.376857548160121,0.996343451778694,0.008333333333333333,0.012500000000000002,0.057638888888888885,QPSK,2,0.9243446723139593,1,-13.16859308726587,-22
27.197162061603546,37.16558295319422,0.00625,0.5,4.485704876653523,1.8506971575153086,0.008333333333333333,0.006597222222222222,0.01064814814814815,16QAM,4,1.8530107992624174,1,-9.001927987256654,-28
5.310078559660272,59.37614636929564,0.0375,1.0,43.96982905751496,0.5862826302979866,0.05277777777777778,0.16597222222222224,0.2738425925925926,QPSK,2,0.5405576042052018,0,,-1
10.098464024365523,33.04235681860444,0.0,0.0,23.319757494746828,1.0413244344812072,0.0034722222222222225,0.06840277777777777,0.17893518518518517,QPSK,2,1.0041195827224998,1,-21.59366824548418,-6
11.289168737226117,32.28270733950794,0.004166666666666667,0.5,25.590493667904305,1.260523073483718,0.0020833333333333333,0.057986111111111106,0.1476851851851852,QPSK,2,1.3576644735403571,1,-20.3498900951151,-28
11.137688648002102,30.01609580895866,0.0,0.0,24.366097405412333,1.594349868559161,0.0,0.05069444444444443,0.15578703703703703,QPSK,2,1.5864181284097865,0,,-1
9.884543383517318,31.933192277585526,0.0020833333333333333,0.25,24.012168785530555,0.26142064387148456,0.0020833333333333333,0.06666666666666667,0.17222222222222225,QPSK,2,0.24144497144944468,0,,-1
20.706157293639503,29.41846718033416,0.0125,1.0,5.666798833068546,0.15722706708179895,0.007638888888888889,0.010069444444444443,0.01898148148148148,QPSK,2,0.15601394787037967,1,-11.338193617550228,22
0.4849866933911784,109.20121092296722,0.16666666666666666,1.0,60.47494857314632,1.2346152741080705,0.16874999999999998,0.3111111111111111,0.36620370370370375,QPSK,2,1.0624808263296452,0,,-1
0.7337971127475107,92.71874101745664,0.19166666666666665,1.0,59.023562500710256,0.9530630681897894,0.15138888888888888,0.3104166666666666,0.36250000000000004,QPSK,2,0.8313415353493162,0,,-1
18.14541672389115,13.99532561932351,0.0,0.0,11.136124297606749,0.8500838024809175,0.0,0.00034722222222222224,0.030555555555555555,16QAM,4,0.8571985343076364,0,,-1
25.557952422594212,6.847662205986082,0.0,0.0,4.599696924385534,0.6462128251855312,0.0,0.001388888888888889,0.0025462962962962965,64QAM,6,0.6411525614139048,1,-29.542907549435085,-6
3.375266711200966,71.42035406203817,0.08125,1.0,49.74574196461858,1.3139828852754887,0.08402777777777777,0.22048611111111113,0.30300925925925926,QPSK,2,1.1772234064089848,0,,-1
7.8127932056881075,64.05398020759526,0.03125,1.0,31.151979670193327,1.2359796337977182,0.015277777777777779,0.11944444444444445,0.2201388888888889,QPSK,2,1.1589894208499176,1,-7.648764533567355,3
9.053882782380105,50.560913481039925,0.004166666666666667,0.5,33.837860126487534,1.7491700658374998,0.002777777777777778,0.09375,0.19606481481481483,QPSK,2,2.036661574710511,1,-28.64367993054278,-2
21.450892172828354,10.097211717164864,0.0,0.0,6.8596712041017005,0.45038001730452415,0.0,0.0,0.011574074074074077,16QAM,4,0.45820668527470576,1,-29.007206994660372,13
